State,Recreational?,Population,Density (/mi²),Real GDP,Median Household Income ($),2020 Political View,Prisoners,Incarceration Percentage,Driving Under the Influence,Drug Abuse Violations - Grand Total,Simple Assault,Law Enforcement Agencies Submitted,Law Enforcement Agencies,Percent Enforcement Reported
Pennsylvania,No,"13,032,732",292,"710,973.10","72,627",Democrat,"39,357",0.3020,205,639,146,102,1504,6.78
Rhode Island,No,"1,101,860","1,070","54,606.00","74,982",Democrat,"2,227",0.2021,2047,1433,3299,47,49,95.92
South Carolina,No,"5,167,731",174,"221,045.00","62,542",Republican,"16,157",0.3127,11091,28269,15089,252,471,53.50
South Dakota,No,"893,916",12,"49,557.90","73,893",Republican,"3,250",0.3636,6061,7385,5035,118,145,81.38
Tennessee,No,"6,967,314",170,"352,461.20","62,166",Republican,"22,685",0.3256,18070,39746,27859,463,464,99.78
Texas,No,"29,545,499",115,"1,815,063.60","67,404",Republican,"135,906",0.4600,59123,86570,76722,874,1158,75.47
Utah,No,"3,322,389",41,"186,910.00","87,649",Republican,"5,446",0.1639,8375,12474,7849,103,145,71.03
Vermont,Yes,"644,811",70,"30,546.80","76,079",Democrat,"1,284",0.1991,1957,749,1483,82,88,93.18
Virginia,No,"8,694,430",222,"505,351.00","80,268",Democrat,"31,838",0.3662,16653,27488,27196,318,423,75.18
Washington,Yes,"7,803,355",119,"575,129.00","87,648",Democrat,"15,724",0.2015,22125,8173,23689,234,275,85.09
West Virginia,No,"1,787,788",74,"71,343.20","46,836",Republican,"6,044",0.3381,2425,6015,3489,131,435,30.11
Wisconsin,No,"5,914,391",110,"306,467.40","69,943",Democrat,"20,298",0.3432,20283,22066,14115,382,447,85.46
Wyoming,No,"578,173",6,"36,400.00","71,052",Republican,"2,087",0.3610,2744,3410,1920,53,69,76.81
